lc_time;T_in1;T_in2;T_wall_in;T_wall_out;T_outside;T_outside_PT;T_chamber;T_chamber1;T_leaf1;T_leaf2;T_leaf_in;Wind;T_dew;Air_inflow;Air_outflow;nr_time;T_leaf_IR;V_leaf_IR;Rn_above_leaf;Rn_below_leaf;Rn_beside_leaf;RnV_above_leaf;RnV_below_leaf;RnV_beside_leaf;sens_timefirst;sens_timelast;water_flow_avg;water_flow_std;water_flow_n;pow_timefirst;pow_timelast;fan_power_avg;fan_power_std;fan_power_n;Comment
TS;K;K;K;K;K;Deg C;K;K;K;K;K;m/s;degC;SLPM;SLPM;TS;Deg C;mV;W/m^2;W/m^2;W/m^2;mV;mV;mV;;;ul/min;ul/min;ul/min;TS;TS;W;W;;
2014-04-24 12:20:42;11.33;11.48;22.75;22.75;22.75;26.18;22.71;22.78;22.88;22.89;24.17;5.239;-10.09;7.536;3.664;2014-04-24 12:20:44;22.63;0.01611;540.8;-3.318;362.9;-0.6472;0.003458;-0.4702;2014-04-24 12:20:35;2014-04-24 12:20:42;-7.476;0.1281;100;2014-04-24 12:19:43;2014-04-24 12:20:42;1.243;0.0004275;54;Leaf 7-2, R_s=500, varying v_w, light source: Fiber lite PL-800, not fully reaching Rn_beside_leaf
2014-04-24 13:14:51;11.37;11.53;22.87;22.85;22.82;26.14;22.93;22.98;23.12;23.14;24.51;3.990;-10.08;7.453;3.636;2014-04-24 13:14:55;22.77;0.02110;532.0;-3.465;358.1;-0.6366;0.003610;-0.4641;2014-04-24 13:14:47;2014-04-24 13:14:54;-7.262;0.1002;100;2014-04-24 13:13:55;2014-04-24 13:14:54;1.243;0.0003552;54;Leaf 7-2, R_s=500, varying v_w
2014-04-24 14:24:45;11.43;11.61;22.98;22.96;22.92;26.30;23.02;23.16;23.42;23.40;25.11;3.090;-10.10;7.437;3.663;2014-04-24 14:24:47;23.07;0.03283;541.5;-3.292;379.7;-0.6481;0.003431;-0.4920;2014-04-24 14:24:39;2014-04-24 14:24:46;-7.256;0.08109;100;2014-04-24 14:23:47;2014-04-24 14:24:46;1.243;0.0000;53;Leaf 7-2, R_s=500, varying v_w
2014-04-24 14:55:03;11.56;11.71;23.10;23.06;23.07;26.55;23.10;23.38;23.87;23.76;26.01;1.931;-10.09;7.240;3.564;2014-04-24 14:55:06;23.44;0.04701;538.4;-3.794;397.3;-0.6443;0.003953;-0.5148;2014-04-24 14:54:57;2014-04-24 14:55:04;-7.211;0.1762;100;2014-04-24 14:54:05;2014-04-24 14:55:04;1.243;0.0003168;53;Leaf 7-2, R_s=500, varying v_w, closed lid of TC-multiplexer
2014-04-24 16:06:00;11.72;11.86;23.37;23.23;23.24;26.67;23.37;23.95;24.99;24.85;27.79;0.7260;-10.07;7.039;3.494;2014-04-24 16:06:04;24.32;0.08090;547.9;-3.250;415.7;-0.6558;0.003387;-0.5386;2014-04-24 16:05:54;2014-04-24 16:06:01;-6.924;0.1938;100;2014-04-24 16:05:03;2014-04-24 16:06:01;1.243;0.0004056;53;Leaf 7-2, R_s=500, varying v_w
2014-04-24 17:10:39;11.63;11.78;23.27;23.22;23.20;26.55;23.30;23.70;24.47;24.34;27.07;1.136;-10.08;7.225;3.531;2014-04-24 17:10:41;23.91;0.06495;554.4;-2.676;408.1;-0.6635;0.002791;-0.5288;2014-04-24 17:10:32;2014-04-24 17:10:39;-6.814;0.1089;100;2014-04-24 17:09:40;2014-04-24 17:10:39;1.243;0.0002642;53;Leaf 7-2, R_s=500, varying v_w
2014-04-24 18:03:42;11.47;11.61;23.26;23.24;23.22;26.55;23.22;23.32;23.43;23.45;24.97;4.709;-10.09;7.549;3.726;2014-04-24 18:03:42;22.77;0.02109;543.6;-3.100;364.2;-0.6505;0.003231;-0.4719;2014-04-24 18:03:34;2014-04-24 18:03:41;-6.617;0.3075;100;2014-04-24 18:02:43;2014-04-24 18:03:42;1.243;0.0005462;53;Leaf 7-2, R_s=500, varying v_w
