CSV Version;1
"File name";"63_3b_matte_10x.rpt"
"Title";"63_3b_matte_10x"
"Measurement date";"11/23/2016"
"Measurement time";"2:40:12 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"269.469 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6610"
"Brightness2";"7305"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"25";"-27.7361";"um";"-43.7687";"um";"1097.6825";"um2";"7350.2713";"um2";"30445.3950";"um3";"0.071";"%";"131.1242";"um";"41.9735";"um";"33.5788";"um";"37.3847";"um";""
"26";"-27.1943";"um";"-42.7095";"um";"1163.7490";"um2";"7797.1303";"um2";"31647.3465";"um3";"0.076";"%";"138.2192";"um";"41.2739";"um";"37.7761";"um";"38.4933";"um";""
"27";"-28.4158";"um";"-43.7610";"um";"677.7932";"um2";"5322.6178";"um2";"19260.0104";"um3";"0.044";"%";"103.4522";"um";"27.9823";"um";"32.1797";"um";"29.3767";"um";""
"28";"-25.0555";"um";"-44.8669";"um";"1166.6852";"um2";"8077.3475";"um2";"29231.8622";"um3";"0.076";"%";"137.1596";"um";"47.5699";"um";"34.2783";"um";"38.5418";"um";""
"29";"-28.7678";"um";"-41.9592";"um";"731.1358";"um2";"6069.6489";"um2";"21033.1605";"um3";"0.047";"%";"105.8407";"um";"34.9779";"um";"27.9823";"um";"30.5108";"um";""
"30";"-28.8126";"um";"-48.4217";"um";"630.3232";"um2";"5927.7641";"um2";"18161.2435";"um3";"0.041";"%";"103.3819";"um";"36.3770";"um";"23.7850";"um";"28.3294";"um";""
"31";"-26.1833";"um";"-41.6070";"um";"1039.9355";"um2";"7075.0641";"um2";"27228.9823";"um3";"0.068";"%";"128.0859";"um";"42.6730";"um";"32.1797";"um";"36.3880";"um";""
"32";"-25.3320";"um";"-42.4207";"um";"785.9465";"um2";"6331.9663";"um2";"19909.5639";"um3";"0.051";"%";"113.4158";"um";"37.0766";"um";"27.2828";"um";"31.6338";"um";""
"33";"-24.3722";"um";"-41.1499";"um";"766.8606";"um2";"6209.5605";"um2";"18690.0716";"um3";"0.050";"%";"118.8716";"um";"34.9779";"um";"31.4801";"um";"31.2474";"um";""
"34";"-27.4979";"um";"-44.9768";"um";"1121.1728";"um2";"8419.7061";"um2";"30829.8904";"um3";"0.073";"%";"130.1640";"um";"41.9735";"um";"37.7761";"um";"37.7826";"um";""
"35";"-28.2401";"um";"-42.9635";"um";"982.6778";"um2";"7264.5487";"um2";"27750.9194";"um3";"0.064";"%";"122.0796";"um";"38.4757";"um";"33.5788";"um";"35.3721";"um";""
"36";"-28.7571";"um";"-43.0042";"um";"1231.7730";"um2";"8414.3611";"um2";"35422.1634";"um3";"0.080";"%";"132.6930";"um";"43.3726";"um";"36.3770";"um";"39.6023";"um";""
"37";"-27.7366";"um";"-41.3396";"um";"1360.9697";"um2";"8558.6512";"um2";"37748.7343";"um3";"0.088";"%";"138.8690";"um";"46.8704";"um";"37.0766";"um";"41.6274";"um";""
"38";"-27.5948";"um";"-41.8578";"um";"950.8681";"um2";"6432.2816";"um2";"26238.9902";"um3";"0.062";"%";"118.7722";"um";"35.6775";"um";"34.9779";"um";"34.7949";"um";""
"39";"-26.4275";"um";"-42.0479";"um";"1034.5523";"um2";"7995.7795";"um2";"27340.5822";"um3";"0.067";"%";"130.8138";"um";"42.6730";"um";"34.2783";"um";"36.2937";"um";""
"40";"-20.6428";"um";"-36.8437";"um";"573.5550";"um2";"4576.8052";"um2";"11839.8073";"um3";"0.037";"%";"95.9765";"um";"29.3814";"um";"27.9823";"um";"27.0236";"um";""
"41";"-23.9148";"um";"-45.0850";"um";"737.0084";"um2";"5887.7204";"um2";"17625.3943";"um3";"0.048";"%";"105.1908";"um";"34.9779";"um";"29.3814";"um";"30.6331";"um";""
"42";"-27.3062";"um";"-42.5864";"um";"692.4747";"um2";"5770.5877";"um2";"18908.8517";"um3";"0.045";"%";"106.8300";"um";"30.7806";"um";"28.6819";"um";"29.6932";"um";""
"43";"-29.3807";"um";"-45.1357";"um";"1020.8496";"um2";"7721.4877";"um2";"29993.3182";"um3";"0.066";"%";"133.0325";"um";"42.6730";"um";"32.1797";"um";"36.0525";"um";""
