CSV Version;1
"File name";"63_3b_shiny_10x.rpt"
"Title";"63_3b_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"1:59:26 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"213.230 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6710"
"Brightness2";"7557"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"24";"-21.6602";"um";"-35.0024";"um";"1070.2771";"um2";"6390.0193";"um2";"23182.3820";"um3";"0.070";"%";"127.8458";"um";"41.9735";"um";"34.2783";"um";"36.9150";"um";""
"25";"-25.0321";"um";"-36.3970";"um";"1109.9170";"um2";"5870.7589";"um2";"27783.6061";"um3";"0.072";"%";"131.8031";"um";"43.3726";"um";"34.2783";"um";"37.5924";"um";""
"26";"-26.9204";"um";"-38.4887";"um";"1065.8727";"um2";"5772.7483";"um2";"28693.6685";"um3";"0.069";"%";"130.5738";"um";"44.7717";"um";"32.1797";"um";"36.8390";"um";""
"27";"-23.2740";"um";"-33.7086";"um";"1080.0647";"um2";"5438.1697";"um2";"25137.4290";"um3";"0.070";"%";"123.8885";"um";"41.2739";"um";"34.9779";"um";"37.0834";"um";""
"28";"-20.0659";"um";"-28.1785";"um";"1232.7517";"um2";"5868.7402";"um2";"24736.3018";"um3";"0.080";"%";"136.8201";"um";"40.5744";"um";"39.8748";"um";"39.6180";"um";""
"29";"-21.3766";"um";"-33.2453";"um";"1326.2236";"um2";"6048.0320";"um2";"28350.1083";"um3";"0.086";"%";"144.1551";"um";"47.5699";"um";"37.7761";"um";"41.0926";"um";""
"30";"-18.0190";"um";"-30.3017";"um";"1256.7314";"um2";"5468.1249";"um2";"22645.0599";"um3";"0.082";"%";"136.4806";"um";"41.2739";"um";"37.7761";"um";"40.0015";"um";""
"31";"-12.2094";"um";"-23.0515";"um";"1297.3501";"um2";"5612.8093";"um2";"15839.8583";"um3";"0.084";"%";"142.5863";"um";"44.7717";"um";"39.1752";"um";"40.6428";"um";""
"32";"-24.8172";"um";"-35.5173";"um";"761.9668";"um2";"4807.8494";"um2";"18909.8914";"um3";"0.049";"%";"105.1908";"um";"34.9779";"um";"29.3814";"um";"31.1475";"um";""
"33";"-23.5886";"um";"-35.6890";"um";"1010.5726";"um2";"6674.7571";"um2";"23837.9898";"um3";"0.066";"%";"124.0583";"um";"43.3726";"um";"30.7806";"um";"35.8706";"um";""
"34";"-21.6529";"um";"-31.2365";"um";"1282.6686";"um2";"6245.9789";"um2";"27773.5219";"um3";"0.083";"%";"137.5693";"um";"44.0722";"um";"40.5744";"um";"40.4122";"um";""
"35";"-19.4141";"um";"-29.2775";"um";"1246.9438";"um2";"6752.0864";"um2";"24208.2762";"um3";"0.081";"%";"140.7774";"um";"42.6730";"um";"39.8748";"um";"39.8454";"um";""
"36";"-20.5472";"um";"-31.4111";"um";"790.3510";"um2";"4566.2265";"um2";"16239.5010";"um3";"0.051";"%";"107.9890";"um";"37.0766";"um";"28.6819";"um";"31.7223";"um";""
"37";"-24.8524";"um";"-34.4377";"um";"882.3547";"um2";"5154.0164";"um2";"21928.6187";"um3";"0.057";"%";"117.1330";"um";"34.9779";"um";"34.2783";"um";"33.5179";"um";""
