CSV Version;1
"File name";"63_3c_shiny_10x.rpt"
"Title";"63_3c_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"2:11:09 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"269.669 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6860"
"Brightness2";"7726"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"24";"-28.5441";"um";"-40.3970";"um";"1428.5043";"um2";"8303.9570";"um2";"40775.3160";"um3";"0.101";"%";"151.2210";"um";"48.2695";"um";"37.0766";"um";"42.6477";"um";""
"25";"-17.9802";"um";"-29.6818";"um";"1157.8764";"um2";"8239.6775";"um2";"20818.8463";"um3";"0.082";"%";"137.5693";"um";"45.4713";"um";"34.2783";"um";"38.3960";"um";""
"26";"-26.7429";"um";"-39.7540";"um";"1010.5726";"um2";"6388.4829";"um2";"27025.6428";"um3";"0.072";"%";"134.6717";"um";"41.9735";"um";"38.4757";"um";"35.8706";"um";""
"27";"-26.6943";"um";"-37.8888";"um";"1332.5855";"um2";"7919.4570";"um2";"35572.3862";"um3";"0.095";"%";"146.0343";"um";"46.1708";"um";"37.7761";"um";"41.1910";"um";""
"28";"-25.1337";"um";"-36.1485";"um";"1135.8542";"um2";"6696.4383";"um2";"28548.2599";"um3";"0.081";"%";"132.2832";"um";"40.5744";"um";"37.0766";"um";"38.0291";"um";""
"29";"-26.4080";"um";"-38.0084";"um";"1181.8561";"um2";"6322.5094";"um2";"31210.4294";"um3";"0.084";"%";"131.5631";"um";"42.6730";"um";"38.4757";"um";"38.7916";"um";""
"30";"-25.3009";"um";"-38.2848";"um";"1456.8884";"um2";"7230.3065";"um2";"36860.5894";"um3";"0.103";"%";"160.5347";"um";"49.6686";"um";"37.7761";"um";"43.0693";"um";""
"31";"-24.9289";"um";"-37.9377";"um";"569.6399";"um2";"3740.0403";"um2";"14200.5153";"um3";"0.040";"%";"97.6860";"um";"22.3859";"um";"34.2783";"um";"26.9312";"um";""
"32";"-21.2935";"um";"-32.2828";"um";"1353.1396";"um2";"8992.6248";"um2";"28813.1091";"um3";"0.096";"%";"145.6246";"um";"46.1708";"um";"36.3770";"um";"41.5075";"um";""
"33";"-20.8797";"um";"-33.2039";"um";"1379.0768";"um2";"9562.8405";"um2";"28794.7635";"um3";"0.098";"%";"155.2777";"um";"48.9691";"um";"37.7761";"um";"41.9034";"um";""
"34";"-26.2986";"um";"-35.4432";"um";"1254.7739";"um2";"7348.7970";"um2";"32998.8263";"um3";"0.089";"%";"139.7880";"um";"44.0722";"um";"37.7761";"um";"39.9703";"um";""
"35";"-26.4723";"um";"-37.0248";"um";"1366.8422";"um2";"7968.5328";"um2";"36183.5240";"um3";"0.097";"%";"147.3632";"um";"48.9691";"um";"36.3770";"um";"41.7171";"um";""
"36";"-20.2321";"um";"-32.2045";"um";"927.8671";"um2";"6811.9934";"um2";"18772.7064";"um3";"0.066";"%";"125.5568";"um";"41.2739";"um";"33.5788";"um";"34.3715";"um";""
"37";"-27.2964";"um";"-37.0396";"um";"1078.5966";"um2";"6427.4090";"um2";"29441.7653";"um3";"0.077";"%";"124.0583";"um";"40.5744";"um";"34.9779";"um";"37.0582";"um";""
"38";"-28.6692";"um";"-41.1169";"um";"1104.5338";"um2";"6469.1051";"um2";"31666.0939";"um3";"0.078";"%";"128.0859";"um";"39.8748";"um";"37.7761";"um";"37.5011";"um";""
"39";"-25.3877";"um";"-36.3978";"um";"1001.2743";"um2";"6672.0382";"um2";"25420.0991";"um3";"0.071";"%";"125.4574";"um";"39.8748";"um";"32.8792";"um";"35.7052";"um";""
"40";"-21.8827";"um";"-35.8127";"um";"1350.2033";"um2";"6915.3910";"um2";"29546.0531";"um3";"0.096";"%";"153.8786";"um";"48.2695";"um";"39.1752";"um";"41.4624";"um";""
