CSV Version;1
"File name";"35_2c_matte_10x.rpt"
"Title";"35_2c_matte_10x"
"Measurement date";"11/23/2016"
"Measurement time";"1:36:57 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"235.672 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"7100"
"Brightness2";"7997"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-28.0982";"um";"-41.8837";"um";"1495.0602";"um2";"9888.6430";"um2";"42008.3062";"um3";"0.097";"%";"178.9221";"um";"62.9602";"um";"36.3770";"um";"43.6299";"um";""
"2";"-28.1795";"um";"-41.4887";"um";"1315.9466";"um2";"9140.9734";"um2";"37082.5536";"um3";"0.085";"%";"152.8893";"um";"53.1664";"um";"37.7761";"um";"40.9331";"um";""
"3";"-36.8701";"um";"-54.3253";"um";"1355.5865";"um2";"9373.6429";"um2";"49980.4305";"um3";"0.088";"%";"153.8786";"um";"44.0722";"um";"41.9735";"um";"41.5450";"um";""
"4";"-30.6428";"um";"-46.0847";"um";"1272.8810";"um2";"9381.2936";"um2";"39004.4512";"um3";"0.083";"%";"147.1231";"um";"47.5699";"um";"37.0766";"um";"40.2577";"um";""
"5";"-33.5278";"um";"-49.1549";"um";"883.3334";"um2";"6730.8901";"um2";"29616.1578";"um3";"0.057";"%";"120.8503";"um";"36.3770";"um";"34.2783";"um";"33.5365";"um";""
"6";"-28.8870";"um";"-47.2755";"um";"1562.1054";"um2";"9595.6684";"um2";"45124.4299";"um3";"0.101";"%";"208.6721";"um";"64.3593";"um";"37.7761";"um";"44.5975";"um";""
"7";"-26.5888";"um";"-43.0801";"um";"1194.5800";"um2";"7757.3219";"um2";"31762.3743";"um3";"0.078";"%";"166.9096";"um";"54.5655";"um";"34.9779";"um";"38.9998";"um";""
"8";"-27.7660";"um";"-43.7048";"um";"1432.9087";"um2";"9738.1435";"um2";"39786.0235";"um3";"0.093";"%";"200.0083";"um";"69.2562";"um";"37.0766";"um";"42.7134";"um";""
"9";"-31.4208";"um";"-46.1648";"um";"1781.3483";"um2";"11277.9170";"um2";"55971.2649";"um3";"0.116";"%";"183.8687";"um";"60.1620";"um";"41.2739";"um";"47.6244";"um";""
"10";"-29.3645";"um";"-42.6863";"um";"997.8487";"um2";"7249.7617";"um2";"29301.2427";"um3";"0.065";"%";"126.5170";"um";"43.3726";"um";"30.7806";"um";"35.6441";"um";""
