CSV Version;1
"File name";"35_2c_shiny_10x.rpt"
"Title";"35_2c_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"1:07:44 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"224.747 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6860"
"Brightness2";"7725"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-24.0101";"um";"-47.2153";"um";"1439.7601";"um2";"7580.3713";"um2";"34568.7518";"um3";"0.094";"%";"188.2358";"um";"63.6598";"um";"41.9735";"um";"42.8154";"um";""
"2";"-32.3003";"um";"-46.7453";"um";"1373.2042";"um2";"8304.8130";"um2";"44354.8396";"um3";"0.089";"%";"193.5922";"um";"56.6642";"um";"37.7761";"um";"41.8141";"um";""
"3";"-30.1799";"um";"-44.0392";"um";"1466.6760";"um2";"9330.7585";"um2";"44264.0726";"um3";"0.095";"%";"176.7034";"um";"53.1664";"um";"41.2739";"um";"43.2138";"um";""
"4";"-20.9849";"um";"-35.9433";"um";"1762.2624";"um2";"10413.8921";"um2";"36980.8450";"um3";"0.114";"%";"214.6081";"um";"69.2562";"um";"38.4757";"um";"47.3686";"um";""
"5";"-21.6882";"um";"-36.5884";"um";"1771.5607";"um2";"10084.5600";"um2";"38421.8780";"um3";"0.115";"%";"215.4980";"um";"66.4580";"um";"39.1752";"um";"47.4934";"um";""
"6";"-28.4117";"um";"-40.4419";"um";"1178.9198";"um2";"7389.7917";"um2";"33495.1103";"um3";"0.077";"%";"137.9791";"um";"46.8704";"um";"34.9779";"um";"38.7434";"um";""
"7";"-25.3216";"um";"-36.3695";"um";"1669.7693";"um2";"10044.1985";"um2";"42281.2925";"um3";"0.108";"%";"178.8930";"um";"63.6598";"um";"35.6775";"um";"46.1087";"um";""
"8";"-24.2288";"um";"-34.8849";"um";"1421.6530";"um2";"9300.0535";"um2";"34445.0153";"um3";"0.092";"%";"190.0156";"um";"66.4580";"um";"34.9779";"um";"42.5453";"um";""
"9";"-36.6299";"um";"-51.5071";"um";"1308.6059";"um2";"9730.9530";"um2";"47934.1536";"um3";"0.085";"%";"142.5160";"um";"46.1708";"um";"39.8748";"um";"40.8187";"um";""
"10";"-30.1856";"um";"-44.0855";"um";"1999.6124";"um2";"10211.2812";"um2";"60359.5595";"um3";"0.130";"%";"205.1949";"um";"72.7540";"um";"40.5744";"um";"50.4578";"um";""
"11";"-35.0093";"um";"-47.8957";"um";"1380.5449";"um2";"8863.8363";"um2";"48331.8979";"um3";"0.090";"%";"154.9383";"um";"48.9691";"um";"39.8748";"um";"41.9257";"um";""
"12";"-19.1824";"um";"-37.9951";"um";"1789.6678";"um2";"8288.2513";"um2";"34330.1892";"um3";"0.116";"%";"206.6935";"um";"71.3549";"um";"39.8748";"um";"47.7355";"um";""
"13";"-10.6506";"um";"-39.7460";"um";"1145.1525";"um2";"4532.7208";"um2";"12196.5887";"um3";"0.074";"%";"178.9221";"um";"55.2651";"um";"36.3770";"um";"38.1845";"um";""
"14";"-22.2151";"um";"-35.0037";"um";"1556.7222";"um2";"10797.6931";"um2";"34582.6732";"um3";"0.101";"%";"197.3798";"um";"55.9646";"um";"42.6730";"um";"44.5206";"um";""
"15";"-21.5089";"um";"-42.4376";"um";"1120.1940";"um2";"6072.7991";"um2";"24094.1765";"um3";"0.073";"%";"166.1603";"um";"55.9646";"um";"40.5744";"um";"37.7661";"um";""
"16";"-26.6619";"um";"-39.4850";"um";"1977.5902";"um2";"10815.9874";"um2";"52726.3121";"um3";"0.128";"%";"192.8138";"um";"70.6554";"um";"38.4757";"um";"50.1791";"um";""
"17";"-18.5704";"um";"-46.9686";"um";"1408.9290";"um2";"6844.2825";"um2";"26164.3581";"um3";"0.092";"%";"219.8651";"um";"67.1576";"um";"40.5744";"um";"42.3545";"um";""
"18";"-34.4647";"um";"-48.5151";"um";"1492.1239";"um2";"9951.1187";"um2";"51425.5460";"um3";"0.097";"%";"170.0885";"um";"60.1620";"um";"37.7761";"um";"43.5871";"um";""
"19";"-22.7683";"um";"-42.9881";"um";"1734.8570";"um2";"8469.9468";"um2";"39499.7674";"um3";"0.113";"%";"213.9994";"um";"67.8571";"um";"39.1752";"um";"46.9988";"um";""
"20";"-31.5067";"um";"-49.3839";"um";"1364.8847";"um2";"8611.3871";"um2";"43003.0204";"um3";"0.089";"%";"179.3319";"um";"58.7629";"um";"38.4757";"um";"41.6872";"um";""
"21";"-19.8922";"um";"-38.5135";"um";"1773.5182";"um2";"9646.0210";"um2";"35279.1194";"um3";"0.115";"%";"208.8128";"um";"67.1576";"um";"39.8748";"um";"47.5196";"um";""
"22";"-14.3133";"um";"-34.3774";"um";"1534.2107";"um2";"8180.8686";"um2";"21959.6045";"um3";"0.100";"%";"181.1408";"um";"62.9602";"um";"37.0766";"um";"44.1975";"um";""
"23";"-27.8665";"um";"-38.2684";"um";"1267.0084";"um2";"7734.0066";"um2";"35307.0610";"um3";"0.082";"%";"143.9151";"um";"48.2695";"um";"38.4757";"um";"40.1647";"um";""
"24";"-23.1014";"um";"-35.7790";"um";"1226.3898";"um2";"8309.2614";"um2";"28331.3423";"um3";"0.080";"%";"156.6769";"um";"47.5699";"um";"38.4757";"um";"39.5157";"um";""
