CSV Version;1
"File name";"35_2b_shiny_10x.vk4"
"Title";"35_2b_shiny_10x"
"Measurement date";"11/23/2016"
"Measurement time";"12:56:11 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"168.415 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6710"
"Brightness2";"7554"
"ND filter";"1";"%";"10";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"24";"-36.3083";"um";"-48.9744";"um";"1228.8367";"um2";"8457.3721";"um2";"44616.9053";"um3";"0.080";"%";"144.5649";"um";"50.3682";"um";"37.0766";"um";"39.5551";"um";""
"25";"-38.3046";"um";"-49.3301";"um";"1431.4406";"um2";"8681.5419";"um2";"54830.6602";"um3";"0.093";"%";"151.2501";"um";"50.3682";"um";"42.6730";"um";"42.6915";"um";""
"26";"-28.1620";"um";"-42.6610";"um";"1647.7472";"um2";"10299.7788";"um2";"46403.7052";"um3";"0.107";"%";"199.0190";"um";"67.8571";"um";"39.8748";"um";"45.8037";"um";""
"27";"-35.6387";"um";"-45.3801";"um";"1322.7979";"um2";"8470.0929";"um2";"47142.6143";"um3";"0.086";"%";"142.2468";"um";"45.4713";"um";"39.1752";"um";"41.0395";"um";""
"28";"-34.5992";"um";"-48.4781";"um";"1564.5523";"um2";"10141.0397";"um2";"54132.0652";"um3";"0.102";"%";"196.8003";"um";"67.8571";"um";"39.1752";"um";"44.6324";"um";""
"29";"-38.4664";"um";"-51.3337";"um";"1446.6114";"um2";"9072.9658";"um2";"55645.7521";"um3";"0.094";"%";"151.9000";"um";"48.2695";"um";"41.9735";"um";"42.9172";"um";""
"30";"-35.0757";"um";"-47.5033";"um";"1257.7102";"um2";"8637.0648";"um2";"44114.9572";"um3";"0.082";"%";"136.5800";"um";"44.0722";"um";"39.1752";"um";"40.0171";"um";""
"31";"-37.0828";"um";"-48.0846";"um";"1211.7083";"um2";"8356.6445";"um2";"44933.3759";"um3";"0.079";"%";"133.9224";"um";"41.9735";"um";"37.0766";"um";"39.2784";"um";""
"32";"-39.9143";"um";"-56.0713";"um";"1169.1322";"um2";"8006.0252";"um2";"46664.9239";"um3";"0.076";"%";"132.4530";"um";"44.0722";"um";"35.6775";"um";"38.5822";"um";""
"33";"-32.2615";"um";"-43.4529";"um";"1232.7517";"um2";"8349.1074";"um2";"39770.3581";"um3";"0.080";"%";"139.1382";"um";"44.7717";"um";"40.5744";"um";"39.6180";"um";""
"34";"-28.0920";"um";"-42.0631";"um";"1938.4397";"um2";"11374.0026";"um2";"54454.5352";"um3";"0.126";"%";"202.1567";"um";"69.9558";"um";"37.7761";"um";"49.6800";"um";""
"35";"-34.7292";"um";"-100.6394";"um";"1744.6447";"um2";"11630.9512";"um2";"60589.9288";"um3";"0.113";"%";"181.3809";"um";"67.1576";"um";"37.7761";"um";"47.1312";"um";""
"36";"-37.0881";"um";"-49.9105";"um";"1231.2836";"um2";"8424.7372";"um2";"45665.8731";"um3";"0.080";"%";"138.2895";"um";"44.0722";"um";"38.4757";"um";"39.5944";"um";""
"37";"-36.9033";"um";"-49.4810";"um";"1339.9263";"um2";"8801.0942";"um2";"49447.5908";"um3";"0.087";"%";"142.5863";"um";"44.0722";"um";"40.5744";"um";"41.3043";"um";""
"38";"-34.7845";"um";"-46.4554";"um";"1258.1996";"um2";"8857.1021";"um2";"43765.7076";"um3";"0.082";"%";"135.4210";"um";"44.7717";"um";"37.0766";"um";"40.0249";"um";""
"39";"-34.7561";"um";"-53.5796";"um";"977.2946";"um2";"6609.7542";"um2";"33966.8487";"um3";"0.063";"%";"123.8885";"um";"40.5744";"um";"32.8792";"um";"35.2751";"um";""
"40";"-28.5789";"um";"-40.4508";"um";"1081.0435";"um2";"7722.0482";"um2";"30894.9354";"um3";"0.070";"%";"135.5907";"um";"41.2739";"um";"35.6775";"um";"37.1002";"um";""
"41";"-38.0539";"um";"-49.7869";"um";"1546.9346";"um2";"10092.7696";"um2";"58866.7477";"um3";"0.100";"%";"160.4644";"um";"54.5655";"um";"41.9735";"um";"44.3804";"um";""
"42";"-38.0787";"um";"-51.1768";"um";"1252.3270";"um2";"8753.1743";"um2";"47686.8249";"um3";"0.081";"%";"137.3996";"um";"41.9735";"um";"41.2739";"um";"39.9313";"um";""
"43";"-30.8472";"um";"-44.3058";"um";"1367.3316";"um2";"8463.5329";"um2";"42178.2814";"um3";"0.089";"%";"153.6386";"um";"51.0677";"um";"39.8748";"um";"41.7246";"um";""
"44";"-37.9123";"um";"-50.3953";"um";"1889.5016";"um2";"12452.1269";"um2";"71635.0948";"um3";"0.123";"%";"198.5389";"um";"71.3549";"um";"41.2739";"um";"49.0488";"um";""
