CSV Version;1
"File name";"35_2b_matte_10x.rpt"
"Title";"35_2b_matte_10x"
"Measurement date";"11/23/2016"
"Measurement time";"1:27:34 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"235.838 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6740"
"Brightness2";"7448"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"1";"-43.3014";"um";"-65.9365";"um";"1319.3722";"um2";"12748.1642";"um2";"57130.7192";"um3";"0.086";"%";"144.4946";"um";"47.5699";"um";"40.5744";"um";"40.9863";"um";""
"2";"-45.0792";"um";"-66.3848";"um";"1434.3769";"um2";"12908.2888";"um2";"64660.4933";"um3";"0.093";"%";"156.3665";"um";"48.2695";"um";"41.2739";"um";"42.7353";"um";""
"3";"-44.8137";"um";"-70.8342";"um";"1714.3030";"um2";"15277.9023";"um2";"76824.3129";"um3";"0.111";"%";"236.1041";"um";"72.0545";"um";"37.7761";"um";"46.7196";"um";""
"4";"-44.9908";"um";"-64.8524";"um";"1290.4987";"um2";"11393.7176";"um2";"58060.5523";"um3";"0.084";"%";"153.3985";"um";"43.3726";"um";"41.2739";"um";"40.5353";"um";""
"5";"-45.9864";"um";"-66.8761";"um";"1386.4175";"um2";"11789.0116";"um2";"63756.2948";"um3";"0.090";"%";"155.4475";"um";"48.9691";"um";"39.1752";"um";"42.0148";"um";""
"6";"-46.3879";"um";"-65.6872";"um";"1477.4424";"um2";"11985.8877";"um2";"68535.4701";"um3";"0.096";"%";"163.8422";"um";"52.4669";"um";"39.8748";"um";"43.3721";"um";""
"7";"-46.4003";"um";"-67.0519";"um";"1493.5920";"um2";"11347.5976";"um2";"69303.1123";"um3";"0.097";"%";"166.4004";"um";"53.8660";"um";"41.2739";"um";"43.6085";"um";""
"8";"-42.0125";"um";"-64.1500";"um";"1192.1331";"um2";"10442.3366";"um2";"50084.4358";"um3";"0.077";"%";"140.2973";"um";"44.0722";"um";"37.0766";"um";"38.9599";"um";""
"9";"-45.9004";"um";"-68.2943";"um";"1825.8820";"um2";"16770.6726";"um2";"83808.6636";"um3";"0.119";"%";"193.6625";"um";"69.2562";"um";"38.4757";"um";"48.2160";"um";""
"10";"-42.1783";"um";"-66.5241";"um";"1345.7988";"um2";"12151.1811";"um2";"56763.4973";"um3";"0.087";"%";"164.2520";"um";"49.6686";"um";"40.5744";"um";"41.3947";"um";""
"11";"-50.2854";"um";"-74.5923";"um";"1375.1617";"um2";"11936.4084";"um2";"69150.5390";"um3";"0.089";"%";"156.8466";"um";"47.5699";"um";"40.5744";"um";"41.8439";"um";""
"12";"-49.4576";"um";"-72.5910";"um";"1276.7961";"um2";"11945.2852";"um2";"63147.2982";"um3";"0.083";"%";"147.2928";"um";"47.5699";"um";"37.7761";"um";"40.3196";"um";""
"13";"-47.6936";"um";"-71.7601";"um";"1365.3741";"um2";"12169.6507";"um2";"65119.6456";"um3";"0.089";"%";"161.7932";"um";"53.1664";"um";"39.8748";"um";"41.6947";"um";""
