CSV Version;1
"File name";"35_2a_matte_10x.vk4"
"Title";"35_2a_matte_10x"
"Measurement date";"11/21/2016"
"Measurement time";"2:13:39 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"258.347 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6620"
"Brightness2";"7316"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"25";"-35.6944";"um";"-52.3308";"um";"1063.9152";"um2";"7338.6048";"um2";"37975.8573";"um3";"0.069";"%";"131.5631";"um";"39.8748";"um";"36.3770";"um";"36.8051";"um";""
"26";"-25.9882";"um";"-42.2482";"um";"904.8662";"um2";"6595.7795";"um2";"23515.8319";"um3";"0.059";"%";"123.0690";"um";"34.2783";"um";"36.3770";"um";"33.9428";"um";""
"27";"-31.1702";"um";"-46.8387";"um";"1081.0435";"um2";"7076.7743";"um2";"33696.2964";"um3";"0.070";"%";"132.2832";"um";"37.7761";"um";"37.0766";"um";"37.1002";"um";""
"28";"-25.9462";"um";"-43.1131";"um";"610.2586";"um2";"4124.8634";"um2";"15833.9076";"um3";"0.040";"%";"95.6370";"um";"29.3814";"um";"28.6819";"um";"27.8748";"um";""
"29";"-38.0496";"um";"-58.1732";"um";"1592.4471";"um2";"12806.7941";"um2";"60592.0390";"um3";"0.103";"%";"173.9052";"um";"57.3638";"um";"42.6730";"um";"45.0285";"um";""
"30";"-37.3972";"um";"-59.1815";"um";"1099.1506";"um2";"9472.6431";"um2";"41105.1315";"um3";"0.071";"%";"133.4423";"um";"42.6730";"um";"37.0766";"um";"37.4097";"um";""
"31";"-35.3045";"um";"-53.1072";"um";"588.7258";"um2";"5750.2199";"um2";"20784.6692";"um3";"0.038";"%";"94.1385";"um";"27.9823";"um";"27.2828";"um";"27.3786";"um";""
"32";"-33.2149";"um";"-50.1506";"um";"1028.6797";"um2";"7760.4939";"um2";"34167.4550";"um3";"0.067";"%";"132.7925";"um";"39.1752";"um";"33.5788";"um";"36.1905";"um";""
"33";"-28.6910";"um";"-48.5983";"um";"940.1017";"um2";"6723.6831";"um2";"26972.4383";"um3";"0.061";"%";"122.4894";"um";"34.9779";"um";"34.9779";"um";"34.5973";"um";""
"34";"-26.8555";"um";"-47.5303";"um";"832.9271";"um2";"5856.4722";"um2";"22368.6758";"um3";"0.054";"%";"113.9953";"um";"32.8792";"um";"34.2783";"um";"32.5656";"um";""
"35";"-29.7103";"um";"-45.4053";"um";"963.5920";"um2";"6848.1907";"um2";"28628.6526";"um3";"0.063";"%";"123.6485";"um";"40.5744";"um";"33.5788";"um";"35.0269";"um";""
"36";"-24.8265";"um";"-41.1593";"um";"565.2355";"um2";"3968.2917";"um2";"14032.8394";"um3";"0.037";"%";"90.6904";"um";"27.9823";"um";"27.2828";"um";"26.8269";"um";""
